date,borough,count
2018-07-01,Manhattan,39355
2018-07-01,Queens,57425
2018-07-01,Staten Island,13992
2018-07-01,UNSPECIFIED,244
2018-08-01,Bronx,38233
2018-08-01,Brooklyn,72809
2018-08-01,Manhattan,39939
2018-08-01,Queens,57656
2018-08-01,Staten Island,13546
2018-08-01,UNSPECIFIED,266
2018-09-01,Bronx,36680
2018-09-01,Brooklyn,70043
2018-09-01,Manhattan,39693
2018-09-01,Queens,55432
2018-09-01,Staten Island,12229
2018-09-01,UNSPECIFIED,227
2018-10-01,Bronx,41933
2018-10-01,Brooklyn,78154
2018-10-01,Manhattan,48653
2018-10-01,Queens,56939
2018-10-01,Staten Island,11917
2018-10-01,UNSPECIFIED,205
2018-11-01,Bronx,38839
2018-11-01,Brooklyn,67118
2018-11-01,Manhattan,39929
2018-11-01,Queens,49387
2018-11-01,Staten Island,10612
2018-11-01,UNSPECIFIED,305
2018-12-01,Bronx,38187
2018-12-01,Brooklyn,66144
2018-12-01,Manhattan,37579
2018-12-01,Queens,48055
2018-12-01,Staten Island,11675
2018-12-01,UNSPECIFIED,267
2019-01-01,Bronx,47608
2019-01-01,Brooklyn,73707
2019-01-01,Manhattan,42397
2019-01-01,Queens,51281
2019-01-01,Staten Island,12748
2019-01-01,UNSPECIFIED,225
2019-02-01,Bronx,37581
2019-02-01,Brooklyn,60405
2019-02-01,Manhattan,35541
2019-02-01,Queens,44540
2019-02-01,Staten Island,10833
2019-02-01,UNSPECIFIED,254
2019-03-01,Bronx,37114
2019-03-01,Brooklyn,68575
2019-03-01,Manhattan,38357
2019-03-01,Queens,52106
2019-03-01,Staten Island,11876
2019-03-01,UNSPECIFIED,345
2019-04-01,Bronx,35300
2019-04-01,Brooklyn,68679
2019-04-01,Manhattan,38704
2019-04-01,Queens,53631
2019-04-01,Staten Island,11869
2019-04-01,UNSPECIFIED,253
2019-05-01,Bronx,38106
2019-05-01,Brooklyn,75439
2019-05-01,Manhattan,43365
2019-05-01,Queens,60960
2019-05-01,Staten Island,13582
2019-05-01,UNSPECIFIED,295
2019-06-01,Bronx,38990
2019-06-01,Brooklyn,75494
2019-06-01,Manhattan,42132
2019-06-01,Queens,58087
2019-06-01,Staten Island,13996
2019-06-01,UNSPECIFIED,87
2019-07-01,Bronx,37562
2019-07-01,Brooklyn,67783
2019-07-01,Manhattan,37675
2019-07-01,Queens,56263
2019-07-01,Staten Island,12958
2019-07-01,UNSPECIFIED,26
2019-08-01,Bronx,32190
2019-08-01,Brooklyn,67796
2019-08-01,Manhattan,37404
2019-08-01,Queens,55744
2019-08-01,Staten Island,12744
2019-08-01,UNSPECIFIED,32
2019-09-01,Bronx,28973
2019-09-01,Brooklyn,68735
2019-09-01,Manhattan,39400
2019-09-01,Queens,55244
2019-09-01,Staten Island,12123
2019-09-01,UNSPECIFIED,30
2019-10-01,Bronx,29922
2019-10-01,Brooklyn,62955
2019-10-01,Manhattan,41387
2019-10-01,Queens,54228
2019-10-01,Staten Island,11088
2019-10-01,UNSPECIFIED,11
2019-11-01,Bronx,34693
2019-11-01,Brooklyn,60786
2019-11-01,Manhattan,40923
2019-11-01,Queens,48663
2019-11-01,Staten Island,9989
2019-11-01,UNSPECIFIED,13
2019-12-01,Bronx,33437
2019-12-01,Brooklyn,58590
2019-12-01,Manhattan,36156
2019-12-01,Queens,46841
2019-12-01,Staten Island,10052
2019-12-01,UNSPECIFIED,15
2020-01-01,Bronx,33403
2020-01-01,Brooklyn,59293
2020-01-01,Manhattan,36604
2020-01-01,Queens,48584
2020-01-01,Staten Island,10445
2020-01-01,UNSPECIFIED,12
2020-02-01,Bronx,29447
2020-02-01,Brooklyn,50854
2020-02-01,Manhattan,33656
2020-02-01,Queens,43232
2020-02-01,Staten Island,9778
2020-02-01,UNSPECIFIED,10
2020-03-01,Bronx,33017
2020-03-01,Brooklyn,54424
2020-03-01,Manhattan,34344
2020-03-01,Queens,43214
2020-03-01,Staten Island,9103
2020-03-01,UNSPECIFIED,13
2020-04-01,Bronx,31873
2020-04-01,Brooklyn,46986
2020-04-01,Manhattan,31178
2020-04-01,Queens,35311
2020-04-01,Staten Island,7579
2020-04-01,UNSPECIFIED,10
2020-05-01,Bronx,50169
2020-05-01,Brooklyn,67323
2020-05-01,Manhattan,45887
2020-05-01,Queens,53928
2020-05-01,Staten Island,11108
2020-05-01,UNSPECIFIED,3
2020-06-01,Bronx,67458
2020-06-01,Brooklyn,91504
2020-06-01,Manhattan,62379
2020-06-01,Queens,70403
2020-06-01,Staten Island,14415
2020-06-01,UNSPECIFIED,12
2020-07-01,Bronx,72086
2020-07-01,Brooklyn,88318
2020-07-01,Manhattan,57914
2020-07-01,Queens,76048
2020-07-01,Staten Island,14823
2020-07-01,UNSPECIFIED,16
2020-08-01,Bronx,78276
2020-08-01,Brooklyn,93901
2020-08-01,Manhattan,55774
2020-08-01,Queens,92447
2020-08-01,Staten Island,17867
2020-08-01,UNSPECIFIED,12
2020-09-01,Bronx,64351
2020-09-01,Brooklyn,81862
2020-09-01,Manhattan,51998
2020-09-01,Queens,69391
2020-09-01,Staten Island,13331
2020-09-01,UNSPECIFIED,9
2020-10-01,Bronx,51793
2020-10-01,Brooklyn,79700
2020-10-01,Manhattan,55166
2020-10-01,Queens,64773
2020-10-01,Staten Island,12258
2020-10-01,UNSPECIFIED,5
2020-11-01,Bronx,46790
2020-11-01,Brooklyn,69654
2020-11-01,Manhattan,45099
2020-11-01,Queens,56578
2020-11-01,Staten Island,10615
2020-11-01,UNSPECIFIED,0
2020-12-01,Bronx,50401
2020-12-01,Brooklyn,68722
2020-12-01,Manhattan,42728
2020-12-01,Queens,53357
2020-12-01,Staten Island,10655
2020-12-01,UNSPECIFIED,5
2021-01-01,Bronx,49062
2021-01-01,Brooklyn,68317
2021-01-01,Manhattan,42680
2021-01-01,Queens,52509
2021-01-01,Staten Island,10542
2021-01-01,UNSPECIFIED,10
2021-02-01,Bronx,41211
2021-02-01,Brooklyn,59015
2021-02-01,Manhattan,35976
2021-02-01,Queens,44521
2021-02-01,Staten Island,9602
2021-02-01,UNSPECIFIED,13
2021-03-01,Bronx,45738
2021-03-01,Brooklyn,75739
2021-03-01,Manhattan,47854
2021-03-01,Queens,58519
2021-03-01,Staten Island,13695
2021-03-01,UNSPECIFIED,11
2021-04-01,Bronx,45552
2021-04-01,Brooklyn,71565
2021-04-01,Manhattan,48279
2021-04-01,Queens,56341
2021-04-01,Staten Island,11832
2021-04-01,UNSPECIFIED,2
2021-05-01,Bronx,52458
2021-05-01,Brooklyn,80295
2021-05-01,Manhattan,55558
2021-05-01,Queens,67103
2021-05-01,Staten Island,12756
2021-05-01,UNSPECIFIED,16
2021-06-01,Bronx,62444
2021-06-01,Brooklyn,87042
2021-06-01,Manhattan,59135
2021-06-01,Queens,71594
2021-06-01,Staten Island,13963
2021-06-01,UNSPECIFIED,34
2021-07-01,Bronx,72112
2021-07-01,Brooklyn,82562
2021-07-01,Manhattan,53206
2021-07-01,Queens,73716
2021-07-01,Staten Island,14873
2021-07-01,UNSPECIFIED,32
2021-08-01,Bronx,60823
2021-08-01,Brooklyn,81985
2021-08-01,Manhattan,52238
2021-08-01,Queens,66656
2021-08-01,Staten Island,13702
2021-08-01,UNSPECIFIED,25
2021-09-01,Bronx,66805
2021-09-01,Brooklyn,90946
2021-09-01,Manhattan,57216
2021-09-01,Queens,79297
2021-09-01,Staten Island,17018
2021-09-01,UNSPECIFIED,20
2021-10-01,Bronx,54386
2021-10-01,Brooklyn,92916
2021-10-01,Manhattan,63531
2021-10-01,Queens,71703
2021-10-01,Staten Island,20211
2021-10-01,UNSPECIFIED,20
2021-11-01,Bronx,53630
2021-11-01,Brooklyn,79062
2021-11-01,Manhattan,60427
2021-11-01,Queens,62023
2021-11-01,Staten Island,11382
2021-11-01,UNSPECIFIED,16
2021-12-01,Bronx,47581
2021-12-01,Brooklyn,73185
2021-12-01,Manhattan,54217
2021-12-01,Queens,59482
2021-12-01,Staten Island,11189
