year,zip,borough,lat,lng,median_response_hours,count
2010,11385,Queens,40.703907,-73.89426,19.733333333333334,14624
2010,11385,UNSPECIFIED,40.703167,-73.90093,216.0,5820
2010,11411,Queens,40.694344,-73.73731,24.314305555555556,3721
2010,11411,UNSPECIFIED,40.69768,-73.740135,216.0,307
2010,11412,Queens,40.698574,-73.759315,15.808333333333334,5955
2010,11412,UNSPECIFIED,40.699017,-73.75864,264.0,1643
2010,11413,Queens,40.671944,-73.751175,23.31125,6938
2010,11413,UNSPECIFIED,40.671852,-73.75316,240.0,1602
2010,11414,Brooklyn,40.659874,-73.854515,3.776388888888889,41
2010,11414,Queens,40.660225,-73.84349,25.71263888888889,4531
2010,11414,UNSPECIFIED,40.66627,-73.85029,264.0,299
2010,11415,Queens,40.70797,-73.830124,9.76875,2923
2010,11415,UNSPECIFIED,40.707626,-73.83069,216.0,1236
2010,11416,Brooklyn,40.680637,-73.864235,252.6725,113
2010,11416,Queens,40.684437,-73.850136,17.883333333333333,4287
2010,11416,UNSPECIFIED,40.684364,-73.850525,240.0,946
2010,11417,Queens,40.67751,-73.8434,23.813194444444445,6288
2010,11417,UNSPECIFIED,40.678555,-73.84453,264.0,683
2010,11418,Queens,40.69851,-73.8337,20.791805555555555,7039
2010,11418,UNSPECIFIED,40.698383,-73.83332,216.0,1898
2010,11419,Queens,40.688583,-73.823654,17.866666666666667,8456
2010,11419,UNSPECIFIED,40.689167,-73.82408,216.0,2183
2010,11420,Brooklyn,40.66993,-73.81912,2.7666666666666666,1
2010,11420,Queens,40.675694,-73.81537,21.633333333333333,8433
2010,11420,UNSPECIFIED,40.676685,-73.813385,240.0,1531
2010,11421,Brooklyn,40.686794,-73.86701,109.00583333333333,7
2010,11421,Queens,40.691257,-73.85766,15.183333333333334,6542
2010,11421,UNSPECIFIED,40.691746,-73.85904,240.0,1688
2010,11422,Queens,40.663002,-73.734886,23.668055555555554,5040
2010,11422,UNSPECIFIED,40.65904,-73.73473,240.0,878
2010,11423,Queens,40.714993,-73.76874,17.208333333333332,5168
2010,11423,UNSPECIFIED,40.711384,-73.76841,240.0,1824
2010,11426,Queens,40.73387,-73.72162,41.79666666666667,3027
2010,11426,UNSPECIFIED,40.73384,-73.72372,216.0,124
2010,11427,Queens,40.72869,-73.74986,24.84611111111111,3356
2010,11427,UNSPECIFIED,40.72533,-73.75322,216.0,593
2010,11428,Queens,40.72073,-73.74283,26.041666666666668,3196
2010,11428,UNSPECIFIED,40.718826,-73.74353,288.0,519
2010,11429,Queens,40.70966,-73.7403,24.0,4349
2010,11429,UNSPECIFIED,40.710423,-73.740555,264.0,741
2010,11430,Queens,40.647243,-73.78786,529.2444444444444,868
2010,11432,Queens,40.71259,-73.79398,22.603055555555557,8483
